C/Csun     log(g)     R/Rsun     dR/Rsun    M/Msun     dM/Msun    Teff(K)    dTeff(K)   log(L/Lsun)   dLogL/Lsun
0.01       3.42       6.83       0.63       4.47       0.43       34521.67   674.75     4.7757        0.080
0.01       3.67       6.67       0.62       7.58       0.73       36203.32   642.59     4.8377        0.080
0.01       3.92       6.59       0.61       13.16      1.27       37086.40   679.55     4.8691        0.080
0.01       4.17       6.54       0.61       23.06      2.22       37656.02   657.33     4.8890        0.080
0.01       4.42       6.49       0.60       40.34      3.88       38272.89   675.64     4.9101        0.080
0.03       3.42       6.69       0.62       4.29       0.41       35964.15   610.78     4.8291        0.080
0.03       3.67       6.54       0.61       7.30       0.70       37587.93   733.87     4.8866        0.080
0.03       3.92       6.44       0.60       12.58      1.21       38800.17   881.17     4.9280        0.080
0.03       4.17       6.39       0.59       22.01      2.12       39442.32   858.89     4.9494        0.080
0.03       4.42       6.30       0.58       38.09      3.66       40533.41   995.48     4.9849        0.080
0.05       3.42       6.62       0.61       4.21       0.40       36695.45   681.19     4.8553        0.080
0.05       3.67       6.49       0.60       7.18       0.69       38239.80   773.95     4.9090        0.080
0.05       3.92       6.38       0.59       12.34      1.19       39573.07   893.33     4.9537        0.080
0.05       4.17       6.30       0.58       21.43      2.06       40519.90   1036.94    4.9845        0.080
0.05       4.42       6.25       0.58       37.41      3.60       41272.68   1035.00    5.0085        0.080
